name,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,weight,house_Alchemists' Guild,house_Antler Men,house_Band of Nine,house_Black Ears,house_Blacks,house_Brave Companions,house_Brotherhood Without Banners,house_Burned Men,house_Chataya's brothel,house_Citadel,house_City Watch of King's Landing,house_Company of the Cat,house_Drowned men,house_Faceless Men,house_Faith of the Seven,house_Golden Company,house_Good Masters,house_Graces,house_Happy Port,house_House Allyrion,house_House Ambrose,house_House Arryn,house_House Ashford,house_House Baelish,house_House Ball,house_House Banefort,house_House Bar Emmon,house_House Baratheon,house_House Beesbury,house_House Belmore,house_House Bettley,house_House Blackbar,house_House Blackberry,house_House Blackfyre,house_House Blackmont,house_House Blacktyde,house_House Blackwood,house_House Blanetree,house_House Blount,house_House Boggs,house_House Bolling,house_House Bolton,house_House Borrell,house_House Botley,house_House Bracken,house_House Brax,house_House Broom,house_House Brune,house_House Buckler,house_House Bulwer,house_House Bushy,house_House Butterwell,house_House Byrch,house_House Bywater,house_House Cafferen,house_House Caron,house_House Cassel,house_House Caswell,house_House Celtigar,house_House Cerwyn,house_House Charlton,house_House Chelsted,house_House Chester,house_House Chyttering,house_House Clegane,house_House Clifton,house_House Cockshaw,house_House Codd,house_House Coldwater,house_House Cole,house_House Condon,house_House Conklyn,house_House Connington,house_House Corbray,house_House Costayne,house_House Cox,house_House Crabb,house_House Crakehall,house_House Crane,house_House Cupps,house_House Cuy,house_House Dalt,house_House Darklyn,house_House Darry,house_House Dayne,house_House Deddings,house_House Dondarrion,house_House Drinkwater,house_House Drumm,house_House Dustin,house_House Egen,house_House Erenford,house_House Errol,house_House Estermont,house_House Estren,house_House Farman,house_House Farring,house_House Farrow,house_House Farwynd,house_House Farwynd of the Lonely Light,house_House Fell,house_House Flint,house_House Flint of Widow's Watch,house_House Florent,house_House Foote,house_House Fossoway,house_House Fowler,house_House Frey,house_House Gargalen,house_House Gaunt,house_House Glover,house_House Goodbrook,house_House Goodbrother,house_House Gower,house_House Graceford,house_House Grafton,house_House Grandison,house_House Greenfield,house_House Greenhill,house_House Grell,house_House Greyjoy,house_House Grimm,house_House Haigh,house_House Harclay,house_House Hardy,house_House Hardyng,house_House Harlaw,house_House Hasty,house_House Hawick,house_House Hayford,house_House Heddle,house_House Hetherspoon,house_House Hewett,house_House Hightower,house_House Hoare,house_House Hogg,house_House Hollard,house_House Hornwood,house_House Horpe,house_House Humble,house_House Hunt,house_House Hunter,house_House Inchfield,house_House Ironmaker,house_House Jast,house_House Jordayne,house_House Karstark,house_House Kenning,house_House Kettleblack,house_House Lannister,house_House Leek,house_House Lefford,house_House Leygood,house_House Liddle,house_House Locke,house_House Longthorpe,house_House Longwaters,house_House Lonmouth,house_House Lorch,house_House Lothston,house_House Lychester,house_House Lydden,house_House Lynderly,house_House Mallery,house_House Mallister,house_House Manderly,house_House Manwoody,house_House Marbrand,house_House Martell,house_House Massey,house_House Meadows,house_House Merlyn,house_House Merryweather,house_House Mertyns,house_House Mollen,house_House Moore,house_House Mooton,house_House Moreland,house_House Mormont,house_House Morrigen,house_House Mudd,house_House Mullendore,house_House Myre,house_House Nayland,house_House Norcross,house_House Norrey,house_House Norridge,house_House Nymeros Martell,house_House Oakheart,house_House Osgrey,house_House Paege,house_House Payne,house_House Peake,house_House Peckledon,house_House Pemford,house_House Penny,house_House Penrose,house_House Piper,house_House Plumm,house_House Poole,house_House Potter,house_House Prester,house_House Qorgyle,house_House Rambton,house_House Redfort,house_House Redwyne,house_House Reed,house_House Reyne,house_House Rhysling,house_House Risley,house_House Roote,house_House Rosby,house_House Rowan,house_House Royce,house_House Ruttiger,house_House Ryger,house_House Rykker,house_House Ryswell,house_House Santagar,house_House Sarsfield,house_House Sawyer,house_House Seaworth,house_House Selmy,house_House Serry,house_House Sharp,house_House Shepherd,house_House Shett of Gull Tower,house_House Slynt,house_House Smallwood,house_House Sparr,house_House Spicer,house_House Stackspear,house_House Staedmon,house_House Stark,house_House Staunton,house_House Stokeworth,house_House Stonehouse,house_House Stonetree,house_House Stout,house_House Strickland,house_House Strong,house_House Suggs,house_House Sunderland,house_House Sunglass,house_House Swann,house_House Swyft,house_House Tallhart,house_House Targaryen,house_House Tarly,house_House Tarth,house_House Tawney,house_House Templeton,house_House Thorne,house_House Toland,house_House Tollett,house_House Toyne,house_House Trant,house_House Tully,house_House Turnberry,house_House Tyrell,house_House Uffering,house_House Uller,house_House Umber,house_House Vaith,house_House Vance,house_House Varner,house_House Velaryon,house_House Vikary,house_House Volmark,house_House Vypren,house_House Vyrwel,house_House Wagstaff,house_House Wayn,house_House Waynwood,house_House Weaver,house_House Webber,house_House Wells,house_House Westerling,house_House Whent,house_House Willum,house_House Wode,house_House Woods,house_House Woolfield,house_House Wull,house_House Wylde,house_House Wynch,house_House Wythers,house_House Yarwyck,house_House Yew,house_House Yronwood,house_House of Galare,house_House of Ghazeen,house_House of Kandaq,house_House of Loraq,house_House of Merreq,house_House of Pahl,house_House of Reznak,house_House_unknown,house_Iron Bank of Braavos,house_Khal,house_Kingdom of the Three Daughters,house_Kingsguard,house_Kingswood Brotherhood,house_Maesters,house_Moon Brothers,house_Night's Watch,house_Peach,house_Pureborn,house_Queensguard,house_R'hllor,house_Sea watch,house_Second Sons,house_Stone Crows,house_Stormcrows,house_Summer Islands,house_The Citadel,house_Thenn,house_Thirteen,house_Three-eyed crow,house_Undying Ones,house_Unsullied,house_Windblown,house_Wise Masters,house_wilding,house_wildling,culture_Andals,culture_Asshai,culture_Astapori,culture_Braavosi,culture_Crannogmen,culture_Crownlands,culture_Culture_unknown,culture_Dornish,culture_Dothraki,culture_Eyrie,culture_First Men,culture_Free Folk,culture_Ghiscari,culture_Ibbenese,culture_Ironborn,culture_Lhazareen,culture_Lysene,culture_Meereenese,culture_Myrish,culture_Naathi,culture_Northern mountain clans,culture_Northmen,culture_Norvoshi,culture_Pentoshi,culture_Qartheen,culture_Qohor,culture_Reach,culture_Rhoynar,culture_Rivermen,culture_Sistermen,culture_Stormlands,culture_Summer Isles,culture_Targaryen,culture_Tyroshi,culture_Vale mountain clans,culture_Valyrian,culture_Westeros,culture_culture,culture_the Faith,overlord(AGOT)_Baratheons of King's Landing,overlord(AGOT)_House Arryn,overlord(AGOT)_House Baratheon,overlord(AGOT)_House Baratheon of Dragonstone,overlord(AGOT)_House Baratheon of King's Landing,overlord(AGOT)_House Cerwyn,overlord(AGOT)_House Darklyn,overlord(AGOT)_House Dustin,overlord(AGOT)_House Farman,overlord(AGOT)_House Frey,overlord(AGOT)_House Glover,overlord(AGOT)_House Greyjoy,overlord(AGOT)_House Harlaw,overlord(AGOT)_House Hayford,overlord(AGOT)_House Hightower,overlord(AGOT)_House Lannister,overlord(AGOT)_House Martell,overlord(AGOT)_House Rowan,overlord(AGOT)_House Royce,overlord(AGOT)_House Stark,overlord(AGOT)_House Sunderland,overlord(AGOT)_House Sunglass,overlord(AGOT)_House Targaryen,overlord(AGOT)_House Tarly,overlord(AGOT)_House Tully,overlord(AGOT)_House Tyrell,overlord(AGOT)_House Vance of Wayfarer's Rest,overlord(AGOT)_House Waynwood,overlord(AGOT)_House Whent,overlord(AGOT)_House Yronwood,overlord(AGOT)_None,"overlord(AGOT)_None, sovereign",overlord(AGOT)_unknown,overlord(ADWD)_Baratheons of King's Landing,overlord(ADWD)_House Arryn,overlord(ADWD)_House Baelish,overlord(ADWD)_House Baratheon,overlord(ADWD)_House Baratheon of Dragonstone,overlord(ADWD)_House Baratheon of King's Landing,overlord(ADWD)_House Bolton,overlord(ADWD)_House Cerwyn,overlord(ADWD)_House Darklyn,overlord(ADWD)_House Dustin,overlord(ADWD)_House Farman,overlord(ADWD)_House Frey,overlord(ADWD)_House Glover,overlord(ADWD)_House Greyjoy,overlord(ADWD)_House Harlaw,overlord(ADWD)_House Hayford,overlord(ADWD)_House Hightower,overlord(ADWD)_House Lannister,overlord(ADWD)_House Martell,overlord(ADWD)_House Rowan,overlord(ADWD)_House Royce,overlord(ADWD)_House Sunderland,overlord(ADWD)_House Sunglass,overlord(ADWD)_House Targaryen,overlord(ADWD)_House Tarly,overlord(ADWD)_House Tully,overlord(ADWD)_House Tyrell,overlord(ADWD)_House Vance of Wayfarer's Rest,overlord(ADWD)_House Waynwood,overlord(ADWD)_House Yronwood,overlord(ADWD)_None,"overlord(ADWD)_None, sovereign",overlord(ADWD)_unknown,Gender_0,Gender_1
Dobber,0,1,0,0,0,0,0,0,0,0,0.026755853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Donnel Drumm,0,0,0,1,0,0,0,0,0,0,0.016722408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Donel Greyjoy,0,0,0,1,0,0,0,0,0,0,0.060200669000000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Donella Hornwood,0,1,0,0,1,1,1,0,0,0,0.096989967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Donnel Hill,0,0,1,1,1,0,0,0,0,0,0.043478261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Donnis,1,0,0,0,0,0,0,0,0,0,0.006688963000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Donyse,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Dorcas,0,0,0,1,0,0,0,0,0,0,0.02006689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dornish Dilly,0,0,1,0,0,0,0,0,0,0,0.003344482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Dorren Stark,0,1,0,0,0,0,0,0,0,0,0.013377926000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
